DATE	001	A00
220204	0	N/A
220223	3	N/A
220224	4	N/A
220225	6	N/A
220301	7	N/A
220304	8	N/A
220308	9	N/A
220310	10	N/A
220311	11	N/A
220314	12	N/A
220316	14	N/A
220317	16	N/A
220321	18	N/A
220323	19	N/A
220417	0	N/A
220625	2	N/A
220823	N/A	2
