DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16
211115	32/32	32/32	32/32	32/32	32/32	32/32	32/32	32/32	32/32	32/32	32/32	32/32	32/32	N/A	N/A	N/A
220102	32/32 (WL: 2)	32/32 (WL: 3)	32/32 (WL: 3)	32/32 (WL: 3)	32/32 (WL: 1)	32/32 (WL: 1)	32/32 (WL: 4)	32/32 (WL: 2)	32/32 (WL: 3)	32/32 (WL: 3)	32/32 (WL: 3)	32/32 (WL: 2)	32/32 (WL: 3)	32/32 (WL: 3)	32/32 (WL: 3)	32/32 (WL: 2)
