DATE	001	002	003	004	005	006	007	008	009	010
220204	0/6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	3/6	0/0	0/0	0/0	0/0	0/0	0/0	0/0	N/A	N/A
220328	5/6	0/0	0/0	0/0	0/0	0/0	0/0	0/0	N/A	N/A
220330	5/6	1/0	1/0	0/0	1/0	2/0	2/0	6/0	N/A	N/A
220404	5/6	1/0	1/0	1/0	1/0	2/0	2/0	6/0	1/0	0/0
