DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220215	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
220218	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
220219	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
220223	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
220225	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0
220226	0	1	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0
220227	0	1	0	1	2	0	1	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0
220228	0	1	0	1	2	0	1	0	0	0	2	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	2	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0
220301	1	1	0	2	3	1	5	0	0	1	2	0	0	0	2	2	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	2	2	1	1	0	0	1	0	1	0	1	1	0	0	1	0
220302	2	1	0	2	4	1	5	0	0	1	2	0	0	0	2	2	2	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	2	2	1	1	0	0	1	0	1	0	1	1	0	0	1	0
220304	2	1	0	2	4	1	5	0	0	1	2	0	0	0	2	2	2	1	0	1	1	0	0	0	1	1	0	1	0	0	1	1	2	2	1	1	0	0	1	0	1	0	1	1	0	1	1	0
220306	2	1	0	2	4	1	5	0	0	1	2	0	0	0	2	2	2	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	2	2	1	1	0	0	1	0	1	0	1	1	0	1	1	0
220308	2	1	0	2	4	1	5	0	0	1	3	0	0	0	2	2	2	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	2	2	1	1	0	0	1	0	1	0	1	1	0	1	1	0
220309	2	2	1	2	4	1	5	0	0	1	3	0	0	0	2	2	2	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	3	2	1	1	0	0	1	0	1	0	1	1	0	1	1	0
220310	2	2	1	2	4	1	5	0	0	1	4	0	0	0	2	2	2	1	0	1	1	0	0	0	1	1	0	1	0	1	1	2	3	2	1	1	0	0	1	0	1	0	1	1	0	1	1	0
220311	2	3	1	2	4	1	5	0	0	1	4	0	0	0	2	2	2	1	0	1	1	1	0	0	1	1	0	1	0	1	1	2	3	2	1	1	0	0	1	0	1	0	1	1	0	1	1	0
220312	2	3	1	2	5	1	5	0	0	1	4	0	0	0	2	2	2	1	0	2	1	1	0	1	1	1	0	1	0	1	1	3	3	2	1	1	0	0	1	0	1	0	1	1	0	1	1	0
220314	2	3	1	2	5	1	6	1	1	1	5	0	0	0	2	2	2	1	0	2	1	1	2	1	1	1	0	1	0	1	1	3	5	2	1	1	0	0	1	1	1	0	1	1	0	1	1	0
220316	2	3	1	2	6	1	6	1	1	1	5	1	0	1	2	2	2	1	0	2	1	1	2	1	1	1	0	1	0	1	1	4	6	2	1	1	1	0	1	1	1	0	1	1	0	1	1	0
220317	3	3	1	2	6	1	6	1	1	1	5	1	0	1	2	2	2	1	0	2	1	1	2	2	1	1	0	1	0	1	1	4	6	2	1	1	1	1	1	1	1	0	1	1	1	1	1	0
220321	3	3	1	2	7	1	6	1	2	1	5	1	0	1	2	2	2	2	0	2	1	1	2	2	1	1	0	1	0	1	1	4	6	2	1	1	1	1	1	1	1	0	1	1	1	1	1	0
220323	3	3	1	3	7	1	6	1	2	1	5	1	0	1	2	2	2	2	0	2	1	1	2	2	1	1	1	1	0	1	1	4	6	3	1	1	1	1	1	1	1	0	1	1	1	1	1	0
