DATE	A00	B00	C00
220204	0/28	0/28	0/28
220212	0/28	1/28	0/28
220213	1/28	2/28	1/28
220215	7/28	4/28	3/28
220216	10/28	5/28	4/28
220216	15/28	11/28	7/28
