DATE	A01	A02	A03	A04	A05	A06	A07	A08
220204	0/37	0/37	0/37	0/37	0/37	0/37	0/37	0/37
220212	3/37	0/37	0/37	0/37	0/37	1/37	0/37	0/37
220213	5/37	1/37	2/37	0/37	1/37	2/37	1/37	0/37
220214	6/37	1/37	3/37	0/37	1/37	2/37	1/37	0/37
220215	7/37	3/37	3/37	0/37	1/37	4/37	1/37	0/37
220216	10/37	3/37	3/37	0/0	1/37	5/37	2/37	0/0
220216	16/37	5/37	4/37	0/0	2/37	7/37	3/37	0/0
220217	20/37	5/37	4/37	0/0	2/37	9/37	5/37	0/0
220218	29/37	11/37	8/37	0/0	6/37	16/37	6/37	0/0
220219	29/37	11/37	8/37	0/0	6/37	17/37	6/37	0/0
220221	34/37	12/37	8/37	0/0	7/37	18/37	6/37	0/0
220222	37/37	12/37	8/37	0/0	8/37	18/37	6/37	0/0
220223	37/37	13/37	8/37	N/A	8/37	20/37	8/37	N/A
220224	37/37	14/37	9/37	N/A	8/37	24/37	8/37	N/A
220225	36/37 WL2	33/37	15/37	N/A	14/37	35/37	11/37	N/A
220226	37/37	37/37	24/37	N/A	18/37	37/37	13/37	N/A
220227	37/37	37/37	25/37	N/A	19/37	37/37	13/37	N/A
