DATE	A00
220204	0/130
220206	0/145
220212	2/145
220213	10/145
220214	12/145
220215	24/145
220216	41/145
220216	53/145
220217	55/145
220218	59/145
220219	60/145
220221	70/145
220223	82/145
220224	96/145
220225	123/145
220226	133/145
220227	134/145
220302	135/145
220303	133/145
220305	135/145
220306	136/145
220307	137/145
220308	139/145
220309	140/145
220311	139/145
220314	138/145
220316	140/145
220321	144/145 WL1
220323	144/145
220324	145/145 WL1
220328	145/145
220328	145/145 WL1
220330	140/145 WL6
220331	145/145 WL7
220404	145/145 WL5
220405	145/145 WL4
220406	144/145 WL4
220407	145/145 WL3
220410	144/145 WL2
220417	141/145 WL2
220417	19/35
220625	36/40
