DATE	A01	A02	A03	A04	B01
220204	0/25	0/25	0/25	0/25	N/A
220417	25/25 WL5	N/A	N/A	N/A	25/25 WL5
220625	30/30 WL3	N/A	N/A	N/A	35/35 WL6
