DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12
211115	25/25	21/25	25/25	21/25	24/25	22/25	8/25	7/25	18/25	6/25	20/25	15/25
220102	25/25	25/25	25/25	25/25	25/25	25/25	25/25	25/25	25/25	25/25	25/25	25/25
220104	24/25 (WL: 6)	25/25 (WL: 6)	25/25 (WL: 5)	25/25 (WL: 5)	25/25 (WL: 7)	25/25 (WL: 5)	24/25 (WL: 4)	25/25 (WL: 3)	25/25 (WL: 6)	24/25 (WL: 6)	25/25 (WL: 6)	25/25 (WL: 5)
