DATE	A00	B00
220204	0/196	N/A
220212	7/196	N/A
220213	14/196	N/A
220214	22/196	N/A
220215	52/196	N/A
220216	56/0	N/A
220216	54/0	N/A
220221	54/0 WL2	N/A
220221	54/0 WL22	N/A
220222	54/0 WL28	N/A
220223	54/0 WL123	N/A
220224	50/0 WL130	0/0 WL16
220225	N/A	0/150 WL66
220226	N/A	92/150
220227	N/A	116/150
220228	N/A	127/150
220301	N/A	150/150 WL2
220302	N/A	150/150 WL13
220303	N/A	150/170 WL14
220304	N/A	169/170
220305	N/A	170/170
220306	N/A	170/170 WL2
220307	N/A	170/170 WL3
220308	N/A	170/170 WL4
220309	N/A	170/170 WL6
220310	N/A	170/195 WL7
220311	N/A	176/195 WL1
220312	N/A	177/195 WL1
220314	N/A	178/195 WL2
220316	N/A	182/195 WL3
