DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A
220330	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	N/A
220331	3	0	0	0	3	5	0	1	2	6	2	3	2	0	3	0	0	N/A
220404	3	0	0	0	4	5	0	1	3	7	2	3	2	0	5	0	0	0
220405	3	0	0	0	3	5	0	1	3	7	2	4	2	0	5	0	0	0
220406	3	0	0	0	3	5	0	1	3	7	2	4	2	2	6	0	0	0
