DATE	A01	A02	A03	A04
220204	0/32	0/32	0/32	0/32
220213	0/32	2/32	0/32	0/32
220215	1/32	2/32	0/32	0/32
220221	2/32	2/32	0/32	0/32
220222	5/32	2/32	0/32	0/32
220223	6/32	4/32	2/32	1/32
220225	7/32	6/32	3/32	2/32
220226	8/32	7/32	3/32	2/32
220302	8/32	8/32	3/32	2/32
220303	9/32	8/32	3/32	2/32
220305	10/32	11/32	N/A	N/A
220308	11/32	11/32	N/A	N/A
220310	10/32	12/32	N/A	N/A
220311	14/32	12/32	N/A	N/A
220312	15/32	11/32	N/A	N/A
220314	16/32	11/32	N/A	N/A
220316	17/32	10/32	N/A	N/A
220321	16/32	11/32	N/A	N/A
220324	16/32	12/32	N/A	N/A
220328	18/32	11/32	N/A	N/A
220328	18/32	15/32	N/A	N/A
220330	19/32	15/32	N/A	N/A
