DATE	A00	B00
220204	0/14	0/14
220212	0/14	1/14
220213	1/14	2/14
220214	2/14	2/14
220215	5/14	6/14
220216	5/14	10/14
220216	7/14	10/14
220218	11/14	12/14
220220	10/14	13/14
220223	12/14	13/14
220225	12/14	14/14 WL1
220226	10/14	14/14 WL1
220308	11/14	14/14 WL1
220309	12/14	14/14
