DATE	A00
220204	0/120
220215	3/120
220216	4/120
220216	5/120
220221	6/120
220222	8/120
220223	28/120
220224	37/120
220225	54/120
220226	55/120
220227	60/120
220228	62/120
220301	65/120
220302	75/149
220303	80/149
220304	82/149
220305	87/149
220306	89/149
220308	93/149
220309	95/149
220311	96/149
220312	98/149
220314	97/149
220316	98/149
220317	102/149
220321	98/149
220323	107/149
220324	103/149
220328	109/149
220328	117/149
220330	142/149
220331	145/149
220404	136/149
220405	133/149
220406	128/149
220407	127/149
220408	121/149
220410	118/149
220412	116/149
220417	113/149
