DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051
220204	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15
220212	0/15	0/15	1/15	1/15	0/15	0/15	0/15	N/A	N/A	0/15	0/15	N/A	N/A	0/15	0/15	0/15	1/15	N/A	0/15	N/A	0/15	1/15	N/A	0/15	0/15	0/15	N/A	0/15	0/15	1/15	1/15	N/A	N/A	N/A	0/15	0/15	N/A	N/A	N/A	N/A	0/15	0/15	0/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220213	2/15	3/15	7/15	4/15	2/15	1/15	5/15	N/A	N/A	7/15	2/15	N/A	N/A	0/15	0/15	6/15	3/15	N/A	4/15	N/A	1/15	5/15	N/A	3/15	2/15	4/15	N/A	2/15	0/15	3/15	2/15	N/A	N/A	N/A	1/15	2/15	N/A	N/A	N/A	N/A	0/15	1/15	6/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220214	2/15	3/15	6/15	4/15	3/15	1/15	6/15	N/A	N/A	7/15	3/15	N/A	N/A	0/15	0/15	6/15	4/15	N/A	4/15	N/A	1/15	5/15	N/A	3/15	2/15	6/15	N/A	2/15	0/15	3/15	2/15	N/A	N/A	N/A	1/15	3/15	N/A	N/A	N/A	N/A	0/15	1/15	6/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220215	2/15	5/15	7/15	4/15	3/15	1/15	7/15	N/A	N/A	8/15	5/15	N/A	N/A	0/15	0/15	5/15	6/15	N/A	4/15	N/A	1/15	4/15	N/A	3/15	2/15	7/15	N/A	3/15	0/15	4/15	2/15	N/A	N/A	N/A	1/15	5/15	N/A	N/A	N/A	N/A	0/15	1/15	7/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	3/15	5/15	11/15	4/15	3/15	1/15	9/15	N/A	N/A	10/15	7/15	N/A	N/A	0/15	0/15	7/15	7/15	N/A	4/15	N/A	2/15	5/15	N/A	4/15	3/15	8/15	N/A	3/15	0/15	4/15	3/15	N/A	N/A	N/A	1/15	6/15	N/A	N/A	N/A	N/A	0/15	2/15	8/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	5/15	14/15	15/15	9/15	9/15	1/15	10/15	N/A	N/A	15/15	9/15	N/A	N/A	0/15	2/15	15/15	12/15	N/A	6/15	N/A	2/15	7/15	N/A	10/15	13/15	15/15	N/A	3/15	3/15	7/15	11/15	N/A	N/A	N/A	2/15	11/15	N/A	N/A	N/A	N/A	0/15	5/15	9/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220217	5/15	15/15	15/15	14/15	10/15	5/15	11/15	N/A	N/A	15/15	10/15	N/A	N/A	0/15	4/15	15/15	15/15	N/A	11/15	N/A	2/15	9/15	N/A	15/15	15/15	15/15	N/A	4/15	8/15	15/15	15/15	N/A	N/A	N/A	3/15	15/15	N/A	N/A	N/A	N/A	0/15	5/15	11/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	15/15	15/15	15/15	15/15	15/15	15/15	15/15	N/A	N/A	15/15	15/15	N/A	N/A	15/15	15/15	15/15	15/15	N/A	15/15	N/A	15/15	15/15	N/A	15/15	15/15	15/15	N/A	15/15	15/15	15/15	15/15	N/A	N/A	N/A	15/15	15/15	N/A	N/A	N/A	N/A	15/15	15/15	15/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220221	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	N/A	N/A	15/15	15/15	N/A	N/A	15/15	15/15	15/15	15/15	N/A	15/15	N/A	15/15	15/15	N/A	15/15	15/15	15/15	N/A	15/15	15/15	15/15	15/15	N/A	N/A	N/A	15/15	15/15	N/A	N/A	N/A	N/A	15/15	15/15	15/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
