DATE	A00	B00	C00
220204	0/60	0/60	0/60
220212	1/60	1/60	5/60
220213	17/60	12/60	21/60
220214	17/60	17/60	28/60
220215	20/60	23/60	40/60
220216	21/60	23/60	39/60
220216	21/60	24/60	39/60
220221	24/60	26/60	40/60
220222	24/60	26/60	43/60
220223	25/60	27/60	43/60
220224	26/60	27/60	43/60
220225	26/60	28/60	47/60
220226	26/60	29/60	48/60
220228	26/60	29/60	49/60
220301	26/60	31/60	49/60
220303	26/60	32/60	51/60
220304	32/60	36/60	58/60
220305	33/60	37/60	59/60
220306	33/60	38/60	59/60
220307	34/60	38/60	59/60
220308	34/60	41/60	60/60
220309	34/60	42/60	61/60
220312	34/60	41/60	61/60
220321	34/60	43/60	60/60
220323	35/60	43/60	59/60
220328	38/60	41/60	60/60
220328	38/60	42/60	60/60
220330	41/60	41/60	59/60
220331	42/60	40/60	59/60
220404	42/60	40/60	60/60
220408	42/60	41/60	60/60
