DATE	A00
220204	0/275
220212	6/275
220213	33/275
220214	37/275
220215	122/275
220216	200/275
220216	268/275
220217	275/275
220221	275/275 WL2
220221	275/275 WL26
220222	275/275 WL29
220223	274/275 WL65
220224	275/275 WL74
220225	275/275 WL82
220226	275/275 WL84
220227	275/275 WL82
220228	275/275 WL84
220302	275/275 WL88
220303	275/275 WL90
220304	275/275 WL92
220308	275/275 WL93
220309	275/275 WL91
220311	275/275 WL92
220314	275/275 WL91
220316	275/275 WL90
220317	275/275 WL89
220321	275/275 WL88
220323	275/350 WL86
220324	349/350 WL13
220328	350/350 WL23
220328	350/350 WL31
220330	346/350 WL42
220331	350/350 WL33
220404	349/350 WL24
220405	350/350 WL19
220406	347/350 WL17
220407	348/365 WL15
220408	365/365
220410	361/365
220412	360/365
220417	359/365
220417	40/40 WL5
220625	39/40
