DATE	A00	B00
220204	0/16	N/A
220212	2/16	N/A
220213	10/16	N/A
220214	13/16	N/A
220215	16/16	N/A
220223	16/16 WL13	N/A
220224	16/16 WL16	N/A
220227	16/16 WL18	N/A
220228	16/16 WL19	N/A
220301	16/16 WL20	N/A
220310	16/16 WL20	0/0
220312	16/16 WL20	0/0 WL1
220314	16/16 WL19	0/0 WL1
220316	16/16 WL19	0/0 WL3
220317	16/16 WL18	0/0 WL3
220323	16/16 WL15	2/0 WL5
220324	16/16 WL12	4/0 WL6
220328	16/16 WL10	4/0 WL6
220328	16/16 WL11	4/0 WL6
220330	15/16 WL8	5/0 WL6
220331	16/16 WL5	5/0 WL6
220404	16/16 WL2	7/0 WL6
