DATE	A00
220204	0/20
220212	1/20
220215	4/20
220216	6/20
220216	10/20
220218	11/20
220223	13/20
220224	14/20
220225	20/20
220302	20/20 WL1
220310	20/20
220311	19/20
220314	20/20
220323	20/20 WL1
220324	20/20
220328	20/20 WL1
220330	19/20 WL1
220331	20/20 WL2
