DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021
220212	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220215	2	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	3	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	3	3	1	1	1	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220217	3	3	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	3	3	1	1	1	1	1	2	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220226	3	3	1	1	1	1	1	2	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	3	3	1	1	1	1	1	3	2	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220309	3	3	1	1	1	2	2	3	2	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	3	3	1	1	1	2	2	3	2	1	1	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220311	4	3	1	1	2	2	2	3	2	1	1	1	1	0	1	N/A	N/A	N/A	N/A	N/A	N/A
220312	4	3	1	1	2	2	3	3	2	1	1	1	1	0	1	N/A	N/A	N/A	N/A	N/A	N/A
220314	4	3	1	1	2	3	3	3	2	1	1	1	1	0	1	N/A	N/A	N/A	N/A	N/A	N/A
220316	4	3	1	2	3	3	3	3	2	1	1	1	1	0	1	1	1	N/A	N/A	N/A	N/A
220317	4	3	1	2	3	3	4	3	2	1	1	1	1	0	1	1	1	N/A	N/A	N/A	N/A
220321	5	3	1	2	3	3	4	3	2	1	1	1	1	0	1	1	1	N/A	N/A	N/A	N/A
220328	5	3	1	2	3	2	4	3	2	1	1	1	1	0	1	1	1	0	N/A	N/A	N/A
220330	5	3	1	2	3	2	4	3	2	1	1	1	1	0	1	1	1	0	0	N/A	N/A
220404	5	3	1	2	3	2	4	3	2	1	1	1	1	0	1	1	1	1	1	0	0
220406	5	3	1	2	3	2	4	3	2	1	1	1	1	0	1	1	1	1	1	1	0
