DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A
220212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	N/A
220213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	N/A
220214	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	N/A
220215	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	N/A
220216	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	N/A
220216	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	N/A
220218	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	N/A
220219	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	0	N/A
220223	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	2	1	1	0	N/A
220224	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	2	0	0	1	1	0	0	0	0	1	1	0	0	2	1	1	0	N/A
220225	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	2	0	0	1	1	0	0	0	0	2	1	1	0	2	1	1	0	N/A
220226	1	1	2	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	2	0	0	1	1	0	0	0	0	2	1	1	0	2	1	1	0	N/A
220227	1	1	2	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	2	0	0	1	1	0	0	1	0	2	1	1	0	2	1	1	0	N/A
220228	1	1	2	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	2	0	0	1	1	1	0	1	0	2	1	1	0	2	1	1	0	N/A
220301	1	1	2	0	0	0	1	1	0	1	0	2	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	2	0	0	1	1	1	1	1	0	2	1	1	0	3	1	1	0	N/A
220302	1	1	2	0	0	0	1	1	0	1	0	2	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	2	0	0	1	1	1	1	1	0	2	1	1	0	3	1	1	0	N/A
220303	1	2	2	0	0	0	1	1	0	1	0	2	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	2	0	0	1	1	1	1	1	0	2	1	1	0	3	1	1	0	N/A
220305	1	2	2	0	0	0	1	1	0	1	0	2	1	0	1	0	1	0	0	0	1	1	1	1	2	1	0	2	0	0	1	1	1	1	1	0	2	1	1	0	3	1	1	0	N/A
220308	1	2	2	0	0	0	1	1	0	1	0	2	1	0	1	0	1	1	0	0	1	1	1	1	2	1	0	2	0	0	1	1	1	1	1	0	2	1	1	0	3	1	1	0	N/A
220310	1	2	2	0	0	0	1	1	0	1	0	2	1	0	1	0	1	1	0	0	1	1	1	1	2	1	0	2	0	0	1	1	1	1	1	0	2	1	1	0	4	1	1	0	N/A
220312	1	2	2	0	0	0	1	1	0	1	0	2	1	1	1	0	1	1	0	0	1	1	1	1	2	1	0	2	0	0	1	1	2	1	2	0	2	2	1	0	4	1	1	0	N/A
220314	1	2	2	0	0	0	1	1	0	1	0	2	1	1	1	0	1	1	0	0	1	1	1	2	2	1	0	2	0	0	1	1	2	1	2	0	2	3	1	0	4	2	1	0	1
220316	1	2	2	0	1	0	1	1	1	1	0	3	2	1	1	0	1	1	0	0	1	1	1	2	2	1	0	2	1	0	1	1	2	1	3	0	2	5	1	0	4	2	1	0	1
220317	1	2	2	0	1	0	1	1	1	1	1	3	2	1	1	0	1	1	1	0	1	1	1	2	3	1	0	2	1	1	1	1	2	1	3	0	2	5	1	0	4	2	1	1	1
