DATE	A50	A51	A52	A53
220204	0/30	0/30	0/30	0/30
220213	5/30	4/30	1/30	4/30
220214	5/30	6/30	3/30	4/30
220215	15/30	14/30	7/30	7/30
220216	20/30	19/30	12/30	7/30
220216	21/30	19/30	12/30	7/30
220217	22/30	19/30	12/30	7/30
220218	22/30	19/30	12/30	8/30
220221	22/30	20/30	12/30	8/30
220221	23/30	20/30	14/30	9/30
220222	23/30	21/30	15/30	10/30
220223	24/30	28/30	17/30	10/30
220224	24/30	28/30	18/30	10/30
220301	24/30	29/30	18/30	10/30
220302	24/30	30/30	17/30	10/30
220303	24/30	30/30	18/30	10/30
220305	25/30	30/30	18/30	12/30
220306	25/30	30/30	18/30	13/30
220308	25/30	29/30	18/30	12/30
220310	25/30	29/30	19/30	12/30
220317	26/30	30/30	19/30	12/30
220321	25/30	30/30	18/30	12/30
220323	25/30	30/30	19/30	11/30
220324	25/30	30/30	18/30	11/30
220328	26/30	30/30	20/30	9/30
220328	27/30	29/30	21/30	9/30
