DATE	A00	B00	C00
220223	0/25	N/A	N/A
220225	1/25	N/A	N/A
220311	2/25	N/A	N/A
220321	3/25	N/A	N/A
220324	5/25	N/A	N/A
220328	7/25	N/A	N/A
220331	6/25	N/A	N/A
220404	10/25	N/A	N/A
220405	12/25	N/A	N/A
220417	6/20	N/A	N/A
220417	2/20	N/A	N/A
220823	17/40	21/100	16/25
