DATE	A00
220204	0/35
220214	2/35
220215	11/35
220216	16/35
220217	17/35
220218	18/35
220221	19/35
220222	21/35
220223	27/35
220224	35/35
220225	35/35 WL8
220228	34/35 WL8
220301	35/35 WL7
