DATE	A00
220204	0/115
220212	4/115
220213	9/115
220215	31/115
220216	44/115
220216	48/115
220217	49/115
220221	50/115
220221	63/115
220222	67/115
220223	115/115 WL13
220224	114/115 WL21
220225	115/115 WL22
220226	115/115 WL24
220227	115/115 WL26
220301	115/115 WL27
220302	115/115 WL28
220303	115/115 WL31
220304	115/115 WL32
220306	115/115 WL34
220307	115/115 WL36
220310	115/115 WL34
220312	115/115 WL35
220314	115/115 WL36
220316	115/115 WL37
220321	115/115 WL35
220324	113/115 WL34
220328	115/115 WL27
220328	113/115 WL26
220330	113/115 WL21
