DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13
211115	6/32	29/32	14/32	7/32	20/32	14/32	1/32	17/32	25/32	1/32	11/32	6/32	6/32
220102	21/32	31/32	30/32	17/32	30/32	31/32	7/32	29/32	32/32	3/31	19/32	14/32	11/32
220104	22/32	32/32	31/32	17/32	31/32	30/32	8/32	29/32	32/32	3/31	21/32	14/32	11/32
220109	21/32	31/32	32/32	17/32	32/32	26/32	8/32	32/32	32/32	4/31	20/32	14/32	14/32
220117	21/32	31/32	27/32	19/32	31/32	28/32	6/32	31/32	32/32	3/31	20/32	12/32	13/32
220121	21/32	31/32	27/32	19/32	30/32	28/32	6/32	30/32	31/32	3/31	20/32	12/32	13/32
