DATE	A01	A02	A03	A04	A05
220204	0/60	0/60	0/60	0/60	0/60
220212	0/60	2/60	2/60	1/60	2/60
220213	9/60	9/60	8/60	4/60	3/60
220214	13/60	10/60	10/60	4/60	4/60
220215	35/60	26/60	28/60	7/60	15/60
220216	60/60	56/60	52/60	24/60	24/60
220216	60/60	60/60	60/60	60/60	59/60
220217	60/60	60/60	60/60	60/60	60/60
220221	60/60	60/60	60/60 WL1	60/60	60/60
220221	60/60 WL3	60/60 WL2	60/60 WL3	60/60 WL3	60/60 WL2
220222	60/60 WL4	60/60 WL4	60/60 WL4	60/60 WL5	60/60 WL4
220223	61/60 WL11	60/60 WL12	59/60 WL11	60/60 WL11	60/60 WL11
220224	61/60 WL14	60/60 WL13	60/60 WL14	60/60 WL14	60/60 WL13
220225	61/60 WL19	60/60 WL20	60/60 WL20	60/60 WL21	60/60 WL18
220226	61/60 WL22	60/60 WL20	60/60 WL21	60/60 WL21	60/60 WL20
220227	61/60 WL23	60/60 WL21	60/60 WL22	60/60 WL21	60/60 WL22
220228	61/60 WL23	60/60 WL21	60/60 WL21	60/60 WL21	60/60 WL20
220302	61/60 WL22	60/60 WL21	60/60 WL21	60/60 WL21	60/60 WL20
220303	61/60 WL20	60/60 WL21	61/60 WL21	60/60 WL21	59/60 WL20
220304	60/60 WL20	60/60 WL21	61/60 WL21	60/60 WL21	60/60 WL18
220308	60/60 WL19	60/60 WL21	61/60 WL21	60/60 WL22	60/60 WL18
220312	60/60 WL18	60/60 WL21	61/60 WL21	60/60 WL22	60/60 WL18
220314	60/60 WL18	60/60 WL21	61/60 WL21	60/60 WL21	60/60 WL18
220316	60/60 WL18	60/60 WL19	61/60 WL21	60/60 WL21	60/60 WL19
220317	60/60 WL18	60/60 WL19	61/60 WL20	60/60 WL21	59/60 WL19
220321	60/60 WL19	59/60 WL20	61/60 WL20	60/60 WL20	60/60 WL18
220323	60/60 WL19	60/60 WL18	61/60 WL19	60/60 WL20	60/60 WL18
220324	60/60 WL19	59/60 WL18	61/60 WL19	60/60 WL19	60/60 WL18
220328	60/60 WL19	60/60 WL18	61/60 WL18	61/60 WL18	60/60 WL18
220328	60/60 WL18	60/60 WL18	61/60 WL18	61/60 WL18	60/60 WL18
220330	62/60 WL18	59/60 WL16	61/60 WL17	61/60 WL16	60/60 WL18
220331	62/60 WL18	60/60 WL14	61/60 WL18	61/60 WL15	60/60 WL17
220404	61/60 WL11	60/60 WL14	61/60 WL16	62/60 WL13	60/60 WL14
220405	61/60 WL11	60/60 WL13	62/60 WL14	62/60 WL13	60/60 WL13
220406	61/60 WL10	60/60 WL12	62/60 WL13	62/60 WL12	60/60 WL11
220407	63/60 WL7	60/60 WL9	62/60 WL13	62/60 WL11	60/60 WL11
220408	64/60 WL7	60/60 WL8	62/60 WL10	63/60 WL7	60/60 WL8
220410	64/60 WL7	60/60 WL7	62/60 WL9	63/60 WL7	60/60 WL8
