DATE	A00	B00	C00
220204	0/75	N/A	N/A
220314	25/75	N/A	N/A
220316	29/75	N/A	N/A
220321	31/75	N/A	N/A
220328	33/75	N/A	N/A
220328	42/75	N/A	N/A
220330	46/75	N/A	N/A
220823	0/35	0/35	0/35
