DATE	A00
220204	0/85
220206	0/60
220212	4/60
220213	18/60
220214	19/60
220215	60/60
220216	80/80
220221	80/80 WL2
220221	80/80 WL9
220222	80/80 WL10
220223	80/80 WL22
220224	80/80 WL29
220225	80/80 WL44
220226	80/80 WL43
220227	80/80 WL44
220228	80/80 WL45
220301	80/80 WL43
220302	80/80 WL42
220303	79/80 WL42
220304	80/80 WL40
220308	80/80 WL38
220310	80/80 WL37
220311	80/80 WL36
220316	80/80 WL35
220317	80/80 WL34
220323	80/80 WL33
220328	80/80 WL28
220330	79/80 WL25
220331	79/80 WL24
220404	79/80 WL12
220405	80/80 WL12
220406	82/84 WL7
220407	84/84 WL4
