DATE	A00
220204	0/50
220212	1/50
220213	5/50
220215	12/50
220216	20/50
220216	45/50
220218	48/50
220219	49/50
220221	50/50 WL1
220222	50/50 WL2
220223	48/50 WL7
220224	50/50 WL8
220225	50/50 WL13
220303	50/50 WL14
220305	50/50 WL13
220310	50/50 WL14
220312	50/50 WL13
220314	50/50 WL12
220316	60/60 WL2
220323	60/60 WL3
220328	60/60 WL1
220328	60/60 WL2
220330	58/60 WL4
220331	59/60 WL2
220404	60/60
220405	59/60
220406	59/61 WL1
220407	59/61
220408	60/61
220410	59/61
220417	26/40
220625	40/40 WL3
