DATE	A00	B00	C00	D00
220204	0/85	0/85	0/85	0/85
220212	0/85	0/85	1/85	0/85
220213	1/85	1/85	5/85	1/85
220214	1/85	1/85	6/85	4/85
220215	2/85	4/85	13/85	15/85
220216	4/85	7/85	75/85	26/85
220216	6/85	9/85	85/85	59/85
220217	7/85	9/85	85/85	66/85
220218	7/85	9/85	85/85	61/85
220221	7/85	9/85	85/85 WL2	62/85
220221	10/85	10/85	85/85 WL3	65/85
220222	11/85	11/85	85/85 WL3	67/85
220223	17/85	19/85	85/85 WL12	85/85 WL3
220224	24/85	28/85	85/85 WL17	85/85 WL15
220225	34/85	43/85	85/85 WL32	85/85 WL21
220226	37/85	45/85	85/85 WL30	85/85 WL19
220227	37/85	46/85	85/85 WL30	85/85 WL19
220228	37/85	46/85	85/85 WL28	85/85 WL20
220301	37/85	49/85	85/85 WL27	84/85 WL20
220302	37/85	51/85	85/85 WL28	85/85 WL19
220303	38/85	51/85	85/85 WL27	85/85 WL19
220304	38/85	51/85	85/85 WL26	85/85 WL19
220308	40/85	52/85	85/85 WL26	85/85 WL19
220309	40/85	52/85	85/85 WL25	84/85 WL19
220310	38/85	55/85	85/85 WL25	85/85 WL18
220311	38/85	56/85	85/85 WL25	85/85 WL18
220316	39/85	55/85	85/85 WL25	85/85 WL17
220317	39/85	53/85	85/85 WL24	84/85 WL17
220321	40/85	55/85	84/85 WL20	85/85 WL16
220323	40/85	56/85	85/85 WL19	85/85 WL17
