DATE	A01	A02	A03	A04	A05	A06
220204	0/24	0/24	0/24	0/24	0/24	0/24
220212	0/24	0/24	0/24	2/24	0/24	1/24
220213	3/24	0/24	0/24	3/24	2/24	5/24
220214	3/24	0/24	0/24	3/24	3/24	8/24
220215	11/24	4/24	0/24	8/24	7/24	17/24
220216	13/24	7/24	0/24	11/24	14/24	24/24
220216	14/24	10/24	0/24	13/24	16/24	24/24
220217	14/24	9/24	0/24	13/24	17/24	24/24
220218	14/24	10/24	0/0	13/24	18/24	24/24
220223	15/24	12/24	0/0	18/24	21/24	22/24
220224	15/24	12/24	0/0	18/24	20/24	23/24
220225	15/24	12/24	0/0	19/24	21/24	24/24
220226	14/24	12/24	0/0	20/24	21/24	24/24
220228	15/24	12/24	0/0	20/24	21/24	24/24
220301	15/24	14/24	0/0	20/24	21/24	24/24
220305	15/24	14/24	0/0	19/24	21/24	24/24
220306	15/24	14/24	0/0	20/24	21/24	24/24
220307	14/24	14/24	0/0	20/24	21/24	24/24
220314	15/24	14/24	0/0	20/24	19/24	24/24
