DATE	A00
220204	0/115
220212	1/115
220213	6/115
220215	22/115
220216	38/115
220216	58/115
220217	62/115
220218	65/115
220219	66/115
220221	71/115
220222	72/115
220223	92/115
220224	108/115
220225	115/115 WL11
220226	115/115 WL10
220304	115/115 WL9
220306	115/115 WL10
220307	115/115 WL11
220308	115/115 WL12
220309	115/115 WL11
220311	115/115 WL10
220316	114/115 WL10
220317	115/115 WL9
220321	114/115 WL6
220323	115/115 WL6
220324	115/115 WL7
220328	115/115 WL8
220330	115/115 WL10
220331	115/115 WL13
220404	115/115 WL7
220405	115/115 WL5
