DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10
211115	20/32	32/32	4/32	0/32	17/32	3/32	19/32	6/32	8/32	32/32
220102	32/32	32/32	15/30	6/31	32/32	12/32	31/32	17/32	15/30	32/32
220104	32/32	32/32	21/30	7/31	32/32	15/32	30/32	18/32	16/30	32/32
