DATE	A00
220204	0/65
220212	2/65
220213	6/65
220214	11/65
220215	20/65
220216	25/65
220216	30/65
220217	31/65
220218	32/65
220219	33/65
220221	42/65
220222	43/65
220223	64/65
220224	65/65 WL5
220225	65/65 WL14
220228	65/65 WL15
220301	75/75 WL5
220303	75/75 WL6
220309	80/90 WL1
220310	80/90 WL2
220311	82/90 WL1
220314	81/90 WL1
220316	87/90
220317	89/90 WL1
220321	90/90 WL1
220323	90/90
220328	90/90 WL1
220328	90/90 WL6
220330	88/90 WL10
220331	90/90 WL9
220404	90/90 WL7
220405	90/90 WL4
220406	88/90 WL4
220407	89/90 WL2
220408	88/90 WL1
220412	87/90 WL1
