DATE	001	002	003	004
220218	0	N/A	N/A	N/A
220223	1	N/A	N/A	N/A
220323	1	0	0	N/A
220330	1	3	0	N/A
220331	1	3	1	N/A
220404	1	4	1	0
220405	1	4	2	0
