DATE	A01
220204	0/196
220212	2/196
220213	12/196
220214	20/196
220215	45/196
220216	50/196
220216	49/196
220221	50/196
220221	56/196
220222	63/196
220223	103/196
220224	118/196
220225	126/196
220228	127/196
220304	129/196
220305	131/196
220307	132/196
220308	158/196
220309	161/196
220310	162/196
220311	164/196
220312	165/196
220314	167/196
220316	172/196
220317	173/196
220321	177/196
220323	178/196
220324	185/196
220328	191/196
220328	194/196 WL4
220330	189/196 WL13
220331	194/196 WL11
220404	192/196 WL5
220405	196/196 WL3
220406	193/196 WL2
220407	195/196
220408	190/196
220410	189/196
220412	185/196
220417	181/196
