DATE	A01	A02	A03	A04
211115	13/60	6/60	3/60	12/60
220102	57/57	47/50	45/50	61/61
220104	57/57 (WL: 5)	50/50 (WL: 5)	49/50 (WL: 3)	61/61 (WL: 5)
