DATE	A01	A02
220204	0/34	0/34
220212	1/34	0/34
220213	1/34	1/34
220214	2/34	1/34
220215	1/34	1/34
220216	4/34	4/34
220217	5/34	4/34
220218	10/34	11/34
220220	10/34	12/34
220223	11/34	12/34
220225	14/34	14/34
220226	19/34	21/34
