DATE	A00	B00	C00	D00	E00	F00	G00
220204	0/40	0/60	0/60	0/60	0/28	0/15	0/50
220212	0/40	4/60	2/60	2/60	0/28	0/15	0/50
220213	0/40	14/60	3/60	3/60	1/28	1/15	2/50
220214	1/40	18/60	3/60	3/60	6/28	1/15	2/50
220215	2/40	25/60	8/60	6/60	14/28	4/15	15/50
220216	2/40	25/60	12/60	11/60	17/28	6/15	19/50
220216	5/40	27/60	16/60	11/60	18/28	7/15	21/50
220217	6/40	27/60	18/60	11/60	18/28	7/15	21/50
220218	6/40	27/60	19/60	11/60	18/28	9/15	22/50
220221	7/40	29/60	19/60	14/60	19/28	10/15	22/50
220222	7/40	34/60	19/60	14/60	20/28	10/15	22/50
220223	7/40	38/60	28/60	22/60	23/28	11/15	29/50
220224	8/40	38/60	30/60	24/60	25/28	12/15	30/50
220225	9/40	38/60	33/60	26/60	25/28	13/45	33/50
220226	9/40	38/60	32/60	25/60	25/28	13/45	34/50
220301	9/40	38/60	34/60	28/60	25/28	14/45	36/50
220302	9/40	39/60	36/60	29/60	25/28	15/45	38/50
220303	9/40	39/60	37/60	29/60	25/28	15/45	38/50
220304	10/40	39/60	37/60	30/60	25/28	15/45	39/50
220305	12/40	39/60	38/60	31/60	25/28	15/45	39/50
220307	12/40	39/60	38/60	31/60	25/28	16/45	39/50
220308	15/40	39/60	39/60	32/60	25/28	19/45	39/50
220309	16/40	39/60	39/60	32/60	25/28	20/45	39/50
220310	17/40	39/60	39/60	34/60	25/28	21/45	39/50
220311	17/40	39/60	39/60	34/60	25/28	22/45	39/50
220312	17/40	39/60	39/60	33/60	25/28	22/45	40/50
220314	17/40	39/60	39/60	34/60	25/28	22/45	40/50
220316	19/40	39/60	40/60	34/60	25/28	23/45	41/50
220317	20/40	39/60	40/60	34/60	25/28	23/45	41/50
220323	20/40	39/60	41/60	34/60	25/28	24/45	41/50
220324	19/40	40/60	41/60	35/60	25/28	24/45	41/50
220328	20/40	40/60	43/60	33/60	25/28	23/45	41/50
220328	21/40	40/60	45/60	33/60	25/28	23/45	41/50
220330	23/40	41/60	48/60	36/60	25/28	24/45	42/50
220331	24/40	43/60	49/60	36/60	25/28	25/45	42/50
220404	22/40	43/60	53/60	34/60	25/28	25/45	42/50
220405	22/40	43/60	53/60	34/60	25/28	25/45	43/50
220406	22/40	43/60	53/60	34/60	25/28	26/45	43/50
220407	23/40	43/60	53/60	34/60	25/28	27/45	43/50
220408	23/40	43/60	52/60	35/60	25/28	26/45	43/50
220410	23/40	43/60	52/60	34/60	25/28	26/45	43/50
220417	1/30	N/A	N/A	N/A	N/A	N/A	N/A
220417	4/25	0/30	N/A	N/A	N/A	N/A	N/A
220417	0/40	0/30	N/A	N/A	N/A	N/A	N/A
220625	15/40	15/30	N/A	N/A	N/A	N/A	N/A
220823	36/60	54/60	36/60	17/60	9/30	12/25	N/A
