DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015
220204	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220316	0/10	0/10	0/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220323	0/10	0/10	0/10	0/10	0/10	0/10	1/10	1/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220404	0/10	0/10	0/10	0/10	0/10	0/10	4/20	1/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220406	0/10	0/10	0/10	0/10	0/10	0/10	5/20	2/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220407	0/10	0/10	0/10	0/10	0/10	0/10	9/20	2/10	2/10	0/10	0/10	0/10	0/10	0/10	0/10
220408	0/10	0/10	0/10	0/10	0/10	0/10	13/20	2/10	2/10	0/10	0/10	0/10	0/10	0/10	0/10
