DATE	A50	A51	A52
220204	0/25	0/25	0/25
220213	4/25	0/25	4/25
220214	8/25	0/25	7/25
220215	23/25	7/25	15/25
220216	24/25	8/25	15/25
220216	24/25	9/25	15/25
220223	25/25	9/25	15/25
220224	25/25	9/25	19/25
220301	25/25	9/25	20/25
