DATE	A00
220204	0/250
220212	1/250
220213	2/250
220214	6/250
220215	9/250
220216	10/250
220216	14/250
220217	16/250
220218	28/250
220221	36/250
220222	42/250
220223	55/250
220224	65/250
220225	90/250
220226	139/250
220227	141/250
220228	143/250
220301	147/250
220302	148/250
220303	155/250
220304	157/250
220305	159/250
220307	160/250
220309	161/250
220310	160/250
220311	158/250
220314	157/250
220316	159/250
220317	158/250
220321	159/250
220323	161/250
220324	164/250
220328	186/250
220328	212/250
220330	247/250 WL6
220331	250/250 WL10
220404	250/250 WL3
220405	249/250 WL4
220406	252/250 WL3
