DATE	A00
220204	0/320
220212	1/320
220213	6/320
220214	8/320
220215	34/320
220216	51/320
220216	62/320
220218	66/320
220221	67/320
220221	77/320
220222	85/320
220223	155/320
220224	213/320
220225	281/320
220226	285/320
220228	289/320
220301	301/320
220302	305/320
220303	304/320
220304	306/320
220306	312/320
220308	310/320
220309	313/320
220310	314/320
220311	315/320
220312	314/320
220314	318/320
220316	320/320 WL2
220317	318/320 WL2
220321	320/320 WL1
220323	320/320 WL4
220324	319/320 WL6
220328	320/320 WL8
220328	320/320 WL26
220330	308/320 WL45
220331	318/320 WL33
220404	319/320 WL17
220405	319/320 WL16
220406	318/320 WL11
220407	318/320 WL8
