DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052
220303	0	3	1	2	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220305	0	3	1	3	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220309	0	3	1	3	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	0	3	1	3	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220311	0	4	1	3	1	1	1	1	1	1	3	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220312	0	4	1	3	1	1	1	1	1	1	3	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	0	5	1	3	1	1	1	1	1	1	3	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	0	5	1	3	1	1	1	1	1	3	3	2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	0	5	1	3	1	1	1	1	1	3	3	2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	3	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	0	5	1	3	1	1	1	1	1	3	3	2	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	3	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	0	5	1	3	1	1	1	1	1	3	3	2	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	3	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220330	1	7	1	4	1	1	1	1	1	5	3	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	2	0	4	1	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220331	1	8	1	4	1	1	1	1	2	6	3	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	2	0	4	1	1	1	5	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220404	1	9	1	6	2	1	2	1	2	6	5	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	3	1	2	1	4	1	1	1	9	3	0	1	1	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A
220405	1	9	1	6	2	1	2	1	2	6	5	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	3	1	2	2	4	1	1	1	9	3	0	1	1	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A
220406	1	9	1	7	2	1	2	1	2	6	5	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	3	1	2	2	4	1	1	1	9	3	1	2	4	1	1	1	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220407	1	10	1	7	2	1	3	1	2	6	5	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	3	1	2	2	4	1	1	1	9	3	1	2	5	1	1	2	1	4	2	1	0	0	0	N/A	N/A	N/A
220408	1	11	1	7	2	1	4	1	4	6	5	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	5	1	2	2	4	1	1	1	9	3	1	2	8	1	1	2	1	4	2	1	1	1	0	0	N/A	N/A
220412	1	12	1	7	2	1	4	1	4	6	6	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	5	1	2	2	4	1	1	1	9	3	1	2	8	1	1	2	1	4	2	1	1	1	2	0	N/A	N/A
220417	1	15	1	9	5	2	4	1	6	6	7	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	5	1	2	2	6	1	1	1	9	4	1	2	10	1	1	2	1	4	2	1	1	2	5	1	1	0
220625	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
