DATE	A50	A51	A52	B50	B51	B52	C50	C51	C52	D50	D51	D52
220204	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220212	0/30	1/30	5/30	1/30	1/30	1/30	0/30	0/30	0/30	2/30	0/30	0/30
220213	2/30	5/30	7/30	9/30	6/30	5/30	1/30	1/30	1/30	2/30	0/30	1/30
220214	5/30	6/30	7/30	10/30	8/30	5/30	2/30	1/30	1/30	2/30	0/30	1/30
220215	9/30	6/30	17/30	17/30	9/30	12/30	2/30	1/30	1/30	3/30	0/30	1/30
220216	15/30	11/30	23/30	25/30	17/30	19/30	4/30	2/30	1/30	4/30	0/30	1/30
220216	18/30	24/30	30/30	30/30	30/30	28/30	5/30	4/30	2/30	6/30	0/30	2/30
220217	30/30	30/30	30/30	30/30	30/30	30/30	6/30	8/30	2/30	7/30	0/30	2/30
220218	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	27/30	12/30
220219	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	29/30	30/30	30/30	12/30
220220	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	29/30	30/30	13/30
220221	30/30	30/30	30/30	30/30	30/30 WL1	30/30	30/30	30/30	30/30	29/30	30/30	13/30
220221	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL2	30/30 WL3	30/30 WL2	30/30	30/30	30/30	30/30	30/30	16/30
220222	30/30 WL1	30/30 WL2	30/30 WL2	30/30 WL2	30/30 WL4	30/30 WL1	30/30	30/30	30/30	30/30	30/30	21/30
220223	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL3	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30 WL1
220224	30/30 WL6	30/30 WL4	30/30 WL4	30/30 WL6	30/30 WL5	29/30 WL6	29/30 WL1	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL2
220225	30/30 WL9	30/30 WL7	30/30 WL8	30/30 WL8	30/30 WL8	30/30 WL8	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL4	29/30 WL4	30/30 WL4
220226	30/30 WL12	30/30 WL11	30/30 WL13	30/30 WL14	30/30 WL14	29/30 WL12	30/30 WL8	30/30 WL7	30/30 WL9	30/30 WL8	30/30 WL7	30/30 WL8
220227	30/30 WL13	30/30 WL11	30/30 WL13	30/30 WL14	30/30 WL14	30/30 WL12	30/30 WL8	30/30 WL7	30/30 WL9	30/30 WL8	30/30 WL7	30/30 WL8
220228	30/30 WL14	30/30 WL11	30/30 WL13	30/30 WL14	30/30 WL15	30/30 WL12	30/30 WL8	30/30 WL8	30/30 WL9	30/30 WL8	30/30 WL7	30/30 WL8
