DATE	A01	A02	A03	A04
220204	0/35	0/35	0/35	0/35
220212	1/35	0/35	0/35	0/35
220213	2/35	0/35	0/35	1/35
220214	3/35	0/35	0/35	1/35
220215	4/35	0/35	0/35	2/35
220216	4/35	0/35	1/35	2/35
220216	5/35	1/35	2/35	2/35
220217	6/35	1/35	2/35	2/35
220218	11/35	5/35	4/35	8/35
220219	11/35	5/35	4/35	10/35
220221	12/35	6/35	5/35	11/35
220222	12/35	6/35	5/35	12/35
220223	15/35	6/35	7/35	12/35
220225	18/35	9/35	10/35	16/35
220226	34/35	18/35	17/35	25/35
220227	35/35	19/35	17/35	25/35
220228	35/35	20/35	17/35	26/35
220301	35/35	20/35	19/35	28/35
220302	35/35	21/35	20/35	29/35
220303	35/35	23/35	21/35	29/35
220304	35/35	24/35	22/35	30/35
220306	35/35	25/35	21/35	30/35
220307	35/35	24/35	21/35	31/35
220308	35/35	24/35	22/35	31/35
220309	34/35	23/35	22/35	31/35
220310	34/35	24/35	23/35	31/35
220314	34/35	24/35	22/35	30/35
220316	35/35	25/35	23/35	29/35
220317	35/35	26/35	23/35	30/35
220321	35/35	32/35	25/35	29/35
220323	35/35	33/35	26/35	30/35
220324	35/35	35/35	26/35	31/35
220328	35/35	34/35	35/35	35/35
220328	35/35	35/35	34/35 WL2	35/35
220330	32/35 WL2	34/35 WL1	32/35 WL1	32/35 WL3
220331	34/35	35/35	30/35	33/35
220404	35/35	34/35	34/35	34/35
220405	35/35	35/35	35/35	35/35
