DATE	A50	A51	A52	A53	A54	A55
211115	3/30	7/30	2/30	1/30	11/30	4/30
220102	13/30	17/30	N/A	N/A	22/30	12/30
220104	14/30	18/30	N/A	N/A	25/30	12/30
220109	13/30	18/30	N/A	N/A	26/30	13/30
