DATE	A01	B01	C01	D01	E01
220204	0/60	N/A	N/A	N/A	N/A
220212	3/60	N/A	N/A	N/A	N/A
220213	9/60	N/A	N/A	N/A	N/A
220214	17/60	N/A	N/A	N/A	N/A
220215	19/60	N/A	N/A	N/A	N/A
220216	20/60	N/A	N/A	N/A	N/A
220219	23/60	N/A	N/A	N/A	N/A
220220	24/60	N/A	N/A	N/A	N/A
220223	25/60	N/A	N/A	N/A	N/A
220224	26/60	N/A	N/A	N/A	N/A
220301	27/60	N/A	N/A	N/A	N/A
220302	28/60	N/A	N/A	N/A	N/A
220307	29/60	N/A	N/A	N/A	N/A
220309	30/60	0/14	0/14	0/14	0/14
220314	30/60	0/14	0/14	0/14	1/14
220316	31/60	0/14	0/14	0/14	1/14
220317	32/60	0/14	0/14	1/14	1/14
220321	32/60	0/14	1/14	1/14	1/14
220323	32/60	1/14	1/14	1/14	2/14
220328	33/60	1/14	1/14	1/14	2/14
