DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13
220221	28/30	28/30	28/30	28/30	28/30	29/30	28/30	28/30	26/30	24/30	N/A	N/A	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30
220221	29/30	28/30	28/30	29/30	30/30	29/30	29/30	30/30	27/30	25/30	N/A	N/A	28/30	29/30	28/30	28/30	29/30	30/30	27/30	29/30	28/30	28/30	28/30	29/30	28/30
220222	29/30	28/30	28/30	29/30	30/30	30/30	29/30	30/30	27/30	25/30	N/A	N/A	28/30	30/30	28/30	28/30	30/30	30/30	27/30	30/30	28/30	29/30	28/30	29/30	28/30
220223	30/30	30/30	30/30	30/30 WL2	30/30 WL1	29/30 WL1	30/30	30/30 WL1	30/30	30/30	N/A	N/A	30/30	30/30	30/30 WL1	30/30 WL1	30/30	30/30 WL2	30/30 WL1	30/30	29/30	30/30	30/30	30/30	30/30
220224	30/30 WL3	30/30 WL2	30/30 WL1	30/30 WL3	30/30 WL2	30/30 WL3	30/30 WL2	30/30 WL2	30/30 WL2	30/30 WL2	N/A	N/A	30/30 WL1	30/30 WL3	30/30 WL2	30/30 WL2	30/30 WL2	30/30 WL2	30/30 WL2	30/30 WL2	30/30 WL2	30/30 WL2	29/30 WL2	30/30 WL1	30/30 WL2
220225	30/30 WL4	30/30 WL5	30/30 WL3	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL7	30/30 WL4	30/30 WL4	30/30 WL4	N/A	N/A	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL3	30/30 WL3	30/30 WL4	30/30 WL2	30/30 WL4	30/30 WL5	30/30 WL5	29/30 WL4	30/30 WL3	30/30 WL4
220226	30/30 WL4	30/30 WL5	30/30 WL3	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL7	30/30 WL4	30/30 WL5	30/30 WL4	N/A	N/A	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL3	30/30 WL4	30/30 WL5	30/30 WL6	30/30 WL4	30/30 WL4	30/30 WL4
220227	30/30 WL4	30/30 WL5	30/30 WL3	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL7	30/30 WL4	30/30 WL5	30/30 WL4	N/A	N/A	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL3	30/30 WL4	30/30 WL4	30/30 WL3	30/30 WL4	30/30 WL5	30/30 WL6	30/30 WL4	30/30 WL4	30/30 WL4
220228	30/30 WL5	30/30 WL5	30/30 WL3	30/30 WL7	30/30 WL5	30/30 WL4	30/30 WL7	30/30 WL4	30/30 WL5	30/30 WL5	N/A	N/A	30/30 WL4	29/30 WL4	30/30 WL4	30/30 WL3	30/30 WL4	30/30 WL5	30/30 WL3	30/30 WL4	30/30 WL5	30/30 WL6	30/30 WL4	30/30 WL4	30/30 WL4
220301	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL4	30/30 WL5	30/30 WL5	N/A	N/A	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL6	30/30 WL4	30/30 WL5	30/30 WL4
220302	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL4	30/30 WL5	30/30 WL6	30/30 WL4	30/30 WL5	30/30 WL5	N/A	N/A	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL6	30/30 WL4	29/30 WL5	30/30 WL4
220303	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL4	30/30 WL5	30/30 WL7	30/30 WL4	30/30 WL4	30/30 WL5	N/A	N/A	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL6	30/30 WL4	30/30 WL4	30/30 WL4
220304	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL4	30/30 WL6	30/30 WL6	30/30 WL4	30/30 WL4	30/30 WL5	N/A	N/A	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL6	30/30 WL4	30/30 WL4	30/30 WL4
220305	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL4	30/30 WL6	30/30 WL6	30/30 WL4	30/30 WL4	30/30 WL5	N/A	N/A	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL6	30/30 WL4	30/30 WL5	30/30 WL4
220306	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL4	30/30 WL6	30/30 WL6	30/30 WL4	30/30 WL4	29/30 WL5	N/A	N/A	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL5	30/30 WL4
220307	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL4	30/30 WL6	30/30 WL6	30/30 WL4	30/30 WL5	30/30 WL4	N/A	N/A	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL5	30/30 WL4
220310	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL4	30/30 WL6	30/30 WL6	30/30 WL5	30/30 WL5	30/30 WL4	N/A	N/A	30/30 WL4	30/30 WL5	30/30 WL4	30/30 WL5	30/30 WL4	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL5	30/30 WL5
220311	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL6	30/30 WL4	30/30 WL5	30/30 WL6	30/30 WL5	30/30 WL5	30/30 WL4	N/A	N/A	30/30 WL4	30/30 WL5	30/30 WL4	30/30 WL5	30/30 WL3	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL5	30/30 WL5	30/30 WL4	30/30 WL5	30/30 WL5
220312	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL4	30/30 WL2	30/30 WL2	30/30 WL3	17/30	18/30	30/30 WL1	30/30 WL5	30/30 WL3	30/30 WL5	30/30 WL3	30/30 WL2	30/30 WL3	30/30 WL3	30/30 WL4	30/30 WL4	30/30 WL3	30/30 WL4	30/30 WL4
220314	29/30 WL2	30/30 WL2	28/30 WL4	30/30 WL2	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL1	30/30 WL1	28/30 WL3	24/30	30/30	29/30 WL2	28/30 WL5	30/30 WL3	29/30 WL5	30/30 WL2	30/30 WL1	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL4	30/30 WL3	30/30 WL3	30/30 WL4
220316	30/30 WL1	30/30 WL2	30/30 WL1	29/30 WL1	30/30 WL2	29/30 WL2	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL2	29/30 WL2	30/30 WL3	30/30 WL4	30/30 WL1	30/30 WL1	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL4	30/30 WL2	30/30 WL3	30/30 WL4
220317	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30 WL2	29/30 WL2	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	29/30 WL1	30/30 WL2	30/30 WL1	30/30 WL3	30/30 WL4	30/30 WL1	30/30 WL1	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL4	30/30 WL1	30/30 WL3	30/30 WL4
220321	30/30 WL1	30/30 WL2	30/30	30/30	30/30 WL3	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL3	30/30 WL4	30/30 WL2	30/30 WL1	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL3	30/30 WL1	30/30 WL3	30/30 WL4
