DATE	A01	A02	A03	A04	A05	A06
220204	0/40	0/40	0/40	0/40	0/40	0/40
220212	0/40	1/40	0/40	0/40	0/40	0/40
220213	1/40	5/40	1/40	0/40	1/40	5/40
220214	2/40	5/40	1/40	0/40	1/40	4/40
220215	4/40	5/40	3/40	0/40	1/40	7/40
220216	11/40	9/40	3/40	0/40	1/40	9/40
220216	20/40	11/40	3/40	1/40	1/40	12/40
220217	22/40	11/40	4/40	1/40	1/40	12/40
220218	40/40	40/40	17/40	3/40	4/40	28/40
220219	40/40	40/40	19/40	3/40	4/40	29/40
220221	40/40	40/40	23/40	3/40	6/40	30/40
220222	40/40	40/40	23/40	3/40	6/40	33/40
220223	40/40	40/40	29/40	4/40	11/40	40/40
220224	40/40 WL2	40/40	32/40	7/40	13/40	40/40 WL1
220225	40/40 WL2	40/40 WL1	40/40 WL1	17/40	22/40	40/40 WL4
