DATE	001	002	003	004	005
220215	0	N/A	N/A	N/A	N/A
220223	1	N/A	N/A	N/A	N/A
220303	0	N/A	N/A	N/A	N/A
220316	0	0	N/A	N/A	N/A
220317	1	0	N/A	N/A	N/A
220330	1	1	0	N/A	N/A
220404	1	1	1	0	0
220406	1	1	1	1	0
220407	1	1	1	1	2
