DATE	A00
220204	0/196
220212	1/196
220213	6/196
220215	13/196
220216	22/196
220216	32/196
220217	35/196
220218	52/196
220219	56/196
220221	62/196
220222	64/196
220223	75/196
220224	83/196
220225	125/196
220226	171/196
220227	172/196
220228	174/196
220301	181/196
220302	184/196
220303	188/196
220305	190/196
220306	189/196
220307	188/196
220308	189/196
220309	191/196
220310	189/196
220311	193/196
220312	194/196
220314	193/196
220316	193/196 WL2
220317	192/196
220321	196/196
220323	196/196 WL1
220324	194/196 WL3
220328	196/196 WL1
220328	196/196 WL11
220330	190/196 WL16
220331	194/196 WL11
220404	195/196 WL5
220405	196/196 WL4
220407	196/196 WL5
220408	195/196 WL3
220410	191/196 WL2
220412	189/196 WL2
220417	188/196 WL2
220417	35/85
220625	56/90
