DATE	A00	B00
220204	0/28	0/28
220212	3/28	0/28
220213	7/28	4/28
220214	6/28	4/28
220215	13/28	12/28
220216	20/28	16/28
220216	28/28	18/28
220218	28/28	22/28
220221	28/28	24/28
220223	28/28 WL4	28/28 WL3
220224	28/28 WL5	28/28 WL4
220225	26/28 WL6	26/28 WL4
220226	28/28 WL4	28/28 WL3
220228	28/28 WL4	28/28 WL4
220301	28/28 WL3	28/28 WL4
220302	28/28 WL3	28/28 WL5
220304	28/28 WL3	28/28 WL6
220310	28/28 WL2	28/28 WL6
220312	28/28 WL2	28/28 WL5
220321	28/28 WL2	28/28 WL6
220328	28/28 WL3	28/28 WL4
220328	28/28 WL3	27/28 WL4
220330	28/28 WL1	28/28 WL3
220331	28/28 WL1	28/28 WL4
220404	28/28 WL2	28/28 WL3
220405	28/28 WL1	29/28 WL2
