DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028
220223	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220317	0	1	0	1	1	0	2	1	1	1	1	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	0	1	0	1	1	0	2	1	1	1	1	1	0	1	0	1	1	0	0	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220323	1	1	0	1	1	0	2	1	1	1	1	1	0	1	0	1	1	0	0	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	1	1	0	1	1	0	2	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
220330	1	2	1	1	2	0	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	0	0	1	1	0
