DATE	A00
220204	0/75
220213	2/75
220215	8/75
220216	13/75
220216	15/75
220217	17/75
220221	22/75
220222	21/75
220223	50/75
220224	56/75
220225	74/75 WL6
220226	75/75 WL6
220301	75/75 WL5
220302	75/75 WL6
220303	75/75 WL8
220308	75/75 WL7
220314	75/75 WL5
220316	75/75 WL9
220321	75/75 WL7
220328	75/75 WL4
220328	74/75 WL11
220330	72/75 WL14
220331	75/75 WL7
220404	74/75 WL6
220405	75/75 WL4
220406	75/75 WL3
220407	74/75 WL3
220408	74/75 WL2
220412	74/75 WL1
220417	73/75 WL1
220417	35/75
220625	75/75
