DATE	A00	B00
220204	0/48	N/A
220212	11/48	N/A
220213	28/48	N/A
220214	37/48	N/A
220215	42/48	N/A
220216	46/48	N/A
220216	48/48	N/A
220221	48/48 WL3	N/A
220222	48/48 WL4	N/A
220223	46/0 WL9	N/A
220224	N/A	0/0 WL7
