DATE	A00	B00
220204	0/60	N/A
220213	1/60	N/A
220215	6/60	N/A
220216	8/60	N/A
220216	7/60	N/A
220217	6/60	N/A
220221	8/60	N/A
220222	9/60	N/A
220223	12/60	N/A
220224	15/60	N/A
220225	23/60	N/A
220228	22/60	N/A
220301	23/60	N/A
220302	26/60	N/A
220303	27/60	N/A
220304	25/60	N/A
220307	26/60	N/A
220309	25/60	N/A
220310	27/60	N/A
220316	31/60	N/A
220317	32/60	N/A
220321	37/60	N/A
220323	41/60	N/A
220328	43/60	N/A
220328	47/60	N/A
220330	60/60	N/A
220331	60/60 WL2	N/A
220404	58/60 WL1	N/A
220405	59/60	N/A
220410	58/60	N/A
220412	57/60	N/A
220417	55/60	N/A
220625	22/40	N/A
220823	N/A	50/50 WL3
