DATE	A00
220204	0/328
220212	2/328
220213	10/328
220214	11/328
220215	16/328
220216	21/328
220216	23/328
220217	27/328
220218	48/328
220219	49/328
220221	72/328
220222	76/328
220223	87/328
220224	97/328
220225	142/328
220226	220/328
220227	224/328
220228	229/328
220301	233/328
220302	234/328
220303	237/328
220304	239/328
220308	242/328
220312	243/328
220314	244/328
220316	245/328
220317	247/328
220321	254/328
220323	256/328
220324	260/328
220328	275/328
220328	298/328
220330	317/328 WL7
220331	328/328
220404	328/328 WL2
220405	327/328
220406	326/328 WL2
220407	327/328
220408	328/328
