DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10
220204	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32
220212	1/32	1/32	0/32	0/32	0/32	0/32	1/32	0/32	0/32	0/32	1/32	0/32	1/32	0/32	0/32	1/32	0/32	0/32	2/32	0/32
220213	4/32	1/32	0/32	0/32	0/32	0/32	2/32	0/32	0/32	0/32	1/32	2/32	6/32	1/32	0/32	1/32	0/32	0/32	2/32	0/32
220214	4/32	3/32	0/32	0/32	0/32	0/32	2/32	1/32	0/32	0/32	1/32	3/32	8/32	1/32	1/32	1/32	1/32	0/32	2/32	0/32
220215	9/32	8/32	1/32	0/32	0/32	2/32	2/32	2/32	0/32	1/32	1/32	3/32	17/32	3/32	0/32	1/32	2/32	1/32	2/32	0/32
220216	19/32	10/32	2/32	2/32	0/32	5/32	7/32	4/32	1/32	5/32	5/32	6/32	26/32	13/32	1/32	1/32	6/32	4/32	3/32	0/32
220216	25/32	12/32	4/32	2/32	0/32	5/32	8/32	5/32	1/32	7/32	7/32	6/32	32/32	22/32	1/32	1/32	13/32	4/32	6/32	2/32
220217	26/32	14/32	4/32	2/32	0/32	5/32	8/32	6/32	1/32	8/32	8/32	7/32	32/32	24/32	1/32	1/32	14/32	4/32	6/32	2/32
220218	28/32	16/32	4/32	2/32	0/32	5/32	9/32	6/32	1/32	9/32	9/32	7/32	32/32	26/32	2/32	2/32	15/32	4/32	7/32	2/32
220219	29/32	16/32	4/32	2/32	0/32	5/32	9/32	6/32	1/32	9/32	9/32	7/32	32/32	26/32	2/32	2/32	15/32	4/32	7/32	2/32
220220	28/32	16/32	4/32	2/32	0/32	5/32	9/32	6/32	1/32	9/32	9/32	7/32	32/32	26/32	2/32	2/32	15/32	4/32	7/32	2/32
220221	31/32	18/32	5/32	2/32	0/32	5/32	9/32	6/32	1/32	9/32	9/32	7/32	32/32 WL1	30/32	4/32	2/32	16/32	4/32	9/32	2/32
220222	32/32	19/32	5/32	2/32	0/32	5/32	10/32	7/32	1/32	9/32	9/32	7/32	32/32 WL1	31/32	4/32	2/32	16/32	4/32	9/32	2/32
