DATE	A01	A02	A03	A04	A05	A06	B01	B02	B03	B04	B05	B06
220417	25/25 WL40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	20/20 WL6	20/20 WL6	20/20 WL4	20/20 WL5	20/20 WL4	20/20 WL5	20/20 WL5	20/20 WL4	20/20 WL4	20/20 WL7	20/20 WL7	20/20 WL5
