DATE	001	002
220212	0/0	0/0
220223	2/0	6/0
220225	3/0	8/0
220301	3/0	10/0
220302	3/0	12/0
220303	3/0	13/0
220304	3/0	14/0
220311	3/0	13/0
220330	4/0	15/0
220406	4/0	14/0
220407	4/0	16/0
220412	4/0	17/0
