DATE	A01
220204	0/60
220212	5/60
220213	25/60
220214	38/60
220215	59/60
220216	60/60
220221	60/60 WL1
220221	59/60 WL4
220222	60/60 WL4
220223	60/60 WL27
220224	60/60 WL28
220225	61/60 WL30
220227	61/60 WL29
220301	61/60 WL30
220302	61/60 WL31
220303	60/60 WL30
220308	60/60 WL29
220309	60/60 WL28
220311	59/60 WL27
220312	60/60 WL25
220321	60/60 WL24
220323	60/60 WL23
220328	60/60 WL21
220330	59/60 WL15
220331	60/60 WL13
220404	60/60 WL6
220405	59/60 WL6
220406	59/60 WL4
220407	59/60 WL3
220408	60/60 WL2
