DATE	A00	B00	C00	D00
220204	0/23	0/23	0/23	0/23
220212	0/23	1/23	2/23	2/23
220213	2/23	1/23	3/23	2/23
220215	7/23	2/23	5/23	2/23
220216	11/23	10/23	13/23	4/23
220216	15/23	10/23	20/23	5/23
220217	16/23	11/23	22/23	5/23
220218	16/23	11/23	23/23	5/23
220221	16/23	11/23	23/23 WL1	5/23
220223	18/23	13/23	23/23 WL2	6/23
220224	23/23	14/23	23/23 WL4	6/23
220225	23/23 WL2	16/23	23/23 WL5	9/23
220226	23/23 WL3	16/23	23/23 WL5	9/23
220227	23/23 WL3	16/23	23/23 WL5	10/23
220301	23/23 WL3	17/23	23/23 WL5	10/23
220303	23/23 WL2	17/23	23/23 WL5	10/23
220309	23/23 WL2	17/23	23/23 WL5	11/23
